WJjzw6flgIYzXkIDjjxpkA,American (Traditional),1
mnKGsLKzNCrHD9IOhNe5EA,Breakfast & Brunch,5
VGuKmjxmYi8BXqPj_r9tbg,Event Planning & Services,5
0ngovzQqlMdZ8zCDCK1iRg,Nail Salons,1
q8p7bG92NmGMqb53ES-Ltg,Restaurants,3
bZfRJ8t8j4mki7m3TIassQ,Home Decor,5
aa8UWucQ87q95lzGrFsuRg,Kosher,5
xuaMOjhmvlTNCgsYoQfo4A,Amusement Parks,1
IUa--QNrkT5a44P7AlpKsw,Home Automation,5
njVRiwWNFZlswOee1lcMNg,Restaurants,5
ECMkVSA_KeIbPU9GFqu4CA,Restaurants,5
TB1_GtoGc4JY_spl1MBTQA,Beauty & Spas,5
_LBCRhFuCpWGfYRpwOrIlA,Car Dealers,5
Zt-Ro7GqV5bxsUgU50xYkw,Drugstores,4
siVtjO8xrSxbrK-zqXCGew,Food,5
1fXkxuVJBpa5GVrHKjOyqA,Japanese,4
o4tShzSd7nD5YHbsqbaCvA,Breakfast & Brunch,4
OyRL2O3rigUFfpWGK9uNFw,Amusement Parks,5
QQ29X2juSXdOVYv21_acTw,Amusement Parks,5
3G0J15bNMGEDlR9K_EAFdA,Japanese,4
Qgk325uGv0RNOGQJRj0VvQ,Food,5
5I6-yegWr4p1mtUMwNkVtg,Amusement Parks,3
plLPOMp3k7h8-B9NBDA00A,Pizza,5
ahwEziFshvGsNkuAbsuwMA,Pizza,5
52fuLJWdqaa2vxxgTtPRZA,Beauty & Spas,1
NiSGRNWd_dSdTx8A7B2j3A,Event Planning & Services,4
gZ8VNx7wHuaOd24Bx71saQ,Drugstores,5
_ARXBCeIwDUG5fzWIkeVTA,Amusement Parks,5
b0sggdZFrsDoNMA7QQBIKA,Kosher,4
jDM9OjSc4iDxE8-vEL3JuQ,Amusement Parks,4
pu_AQig2fw40PshvtgONPQ,Distilleries,5
jnO_038DjWXknuDVVNPSKQ,Amusement Parks,3
MmUdixE_8DAGPK84gZgOAw,Breakfast & Brunch,1
eM6CJqs4-cvoDjZbWJDrnw,Japanese,2
TpnPCq2cLh1XEfYnVMD-dw,American (New),1
MVyUfn8lXhe4nG27nZoR5g,Optometrists,5
QQ7sxRNs0A4uFK6pQE4AYw,Food,3
aET30aMEQQLWz1oNGd-DBQ,Soul Food,5
jw-V7hEvEy7_GhfnfaDPyg,Amusement Parks,4
7iljWwtMZPH6gjDY9DKa6Q,Restaurants,2
zit1Jx9pO5u9_OyPzvKm0A,Breakfast & Brunch,4
34clMq-0wsh6ZUtNAvVX9Q,Breakfast & Brunch,2
Sm1eTOMdbDylMmvWZdnZxA,Kosher,4
80KWgmWO5C6r4UC_EhdYQA,Pizza,1
gW4UsZSf81Xqc29eE2yqCg,Restaurants,4
cfxU5LUgngF3r3GQSN1pHg,Hair Salons,5
h7kFt1px7Z5A5e92X6aMvQ,Restaurants,4
BrqGnby6aahIOc0N_1x0Bg,Active Life,1
kxaSbX0427uT_77A6GdS4g,Pizza,2
7v90K6rlJOv396krZ0qm4Q,Real Estate,5
OGP5eR9Mz-ouqLtt6DF4zg,Amusement Parks,4
dQ0GYDvuqAe76sl2CSW3Wg,Car Dealers,5
kql7QMy4FX9RYVbb_ss_Pw,Amusement Parks,3
ptrfQk5cVmfOgs6pHY85Nw,Restaurants,5
9Qw1BHSQBK71FZfBtzmuDQ,Restaurants,5
BDmxm7aeWFOLT35gSvkmig,Breakfast & Brunch,3
