s36GPmByKQs1gJaykv_i2A,Mexican,2
m2KsayCZcI2n_dWhraIBBw,Italian,3
3DVSPgd2fY1CSADBlwqEaA,Vegan,1
d6om2E23bPoZFWzLss-rrA,Restaurants,5
u8CBzoE4yPa-wLTBbkKZDw,Mexican,4
TBAVkfHTBfnMQa_V_Ez5Pg,American (New),3
GQIi3SWXEgehdPvSMoLR-g,Restaurants,2
IPqsDp5qoK0dbzI4-B8oAg,Steakhouses,4
faghC-z1PhN90gKUVCJvfw,Restaurants,4
wLKdEnZPs6o89WrnwrQAMQ,Tattoo,5
OlJODULZWPGLZP_ntZfSfQ,Beauty & Spas,5
yhbyz0Br8T6o5ZG3044T2w,Nightlife,5
DI30yx8yU8KpccjS5EuIWA,Nightlife,5
bryC2hdOkk7vTWnXWVBI2g,Nightlife,5
5APzHRtwl1tt9eM_tK8a3g,Nail Salons,5
m11o6UIu6XEce2Nujs1NbQ,Chinese,3
wxU9hoROg4utskXgAI1dCg,Auto Detailing,5
PzUVm0jsZRUzWo7VmEsB1A,Tires,1
Yg_C9fo63y1jAJ3jt5IlRA,Steakhouses,5
clcc1z9JacI-P9_ZrpYfwg,American (Traditional),3
xmzvhOSKUHGaTy2eqZAyBA,Kebab,5
Sk7t3I1hxYRvJ-JIf_xong,Nightlife,4
7AQjCyuHfF5DiUH1yGj_xA,Nightlife,5
gl1b6y09vY9zKHHp9Ugc2g,Delis,1
B-_c-MJSHWArIl2wkFYXmA,Restaurants,4
V7E2ZpIvygmIQgcZAFZ64g,Breakfast & Brunch,5
yE5bC3gMDqBiOFLFHii3bw,Restaurants,1
Y5GQp-hkdDrqbaUYbhhn0A,Italian,5
ID7ccpPgEZ-BdqO0lSFqnQ,Art Galleries,4
K3rCmibbm3rFZCCEaZVBWQ,Restaurants,5
gu78-2VmlRMC2AManRslnw,Steakhouses,5
4L9jNWAuODcILt_8VBZ9pA,Restaurants,5
SuPR-q-vaOkdY1K3IbMYYw,Breakfast & Brunch,5
D43OWyfzIQjL8feJpYh2SQ,Kitchen & Bath,4
2a8124z-xY6NSMDmuGCU_Q,Japanese,5
vN8KmyiOANIoNhcF4KWDnw,Fashion,5
JYONg1bEvswtTZr_Rzwefw,Shades & Blinds,5
rgPpseopRnL7OemuToyVDQ,Real Estate,1
X-NLWvLq07Gxf1H5DA5xnQ,Event Planning & Services,3
qs2D-Txa6WX5izewrcm47Q,Restaurants,5
NJ8i8HeGJUDFlzKj6S7Jow,Food,5
UzMn6xvmMyOYingDIqjQWQ,Nightlife,4
ZDreldnEsHSmoNmlL5X4RQ,Breakfast & Brunch,4
UXpTrzITc0yg08sXftsa-w,Shopping Centers,4
jmfbd0Y5A-TvSczNWGfPlQ,Wine & Spirits,4
ppMN_r79hkGiEQbRnraflQ,Shopping,5
01R29aZVqzS2wPui2Fdkjw,Food,4
o3uesxNyRTz439Tvheti7A,Car Dealers,1
efqjGIsaX72z7b94IrY8vA,Venues & Event Spaces,5
